TradingDate,TradingTime,OpenPrice,ClosePrice,HighPrice,LowPrice,Change,Volume,sma5,sma10,sma20,sma30,sma60,BOLLupper,BOLLmiddle,BOLLlower,MACD_macd,MACD_macdsignal,MACD_macdhist,rsi,cci,WR,KDJk,KDJd,KDJj,volumeRatio,ChangeRatio,label
20220104,05:00.0,4880,4879.6,4881.2,4879.6,-1.6,26,4881.36,4882.08,4888.3,4893.673333,4906.03,4883.67455,4881.10208,4878.529611,-6.798919467,-6.865166062,0.066246595,34.00919269,-72.58900795,-74.71264368,68.88888889,67.49359422,71.67947822,23.99638989,-0.0005,-1
20220104,06:00.0,4879,4872.2,4879,4872.2,-7.4,56,4879.4,4880.5,4886.91,4892.38,4905.296667,4885.753644,4878.13472,4870.515797,-7.237808392,-6.939694528,-0.298113864,28.26613783,-145.6396636,-100,38.51851852,58.99371069,-2.431865828,24.11151079,-0.0002,-1
20220104,07:00.0,4872,4867,4872.8,4867,-5.2,107,4876.68,4878.64,4885.29,4890.88,4904.44,4886.683261,4874.423147,4862.163033,-7.913999904,-7.134555603,-0.779444301,25.06325911,-202.6883434,-100,16.2962963,41.2345679,-33.58024691,24.40860215,0.0002,-1
20220104,08:00.0,4868.8,4871.8,4873.2,4868.8,4.8,44,4874.36,4877.52,4883.94,4889.726667,4903.65,4884.117852,4873.548765,4862.979678,-7.970685563,-7.301781595,-0.668903968,32.64966946,-138.8956311,-81.25,10.25641026,21.69040836,-12.61158594,24.47857143,-0.0001,-1
20220104,09:00.0,4872,4871.4,4872.4,4869,-0.4,34,4872.4,4876.56,4882.51,4888.766667,4902.86,4880.951623,4872.83251,4864.713396,-7.956172212,-7.432659718,-0.523512493,32.35570432,-118.0591946,-81.51260504,20.58504875,15.7125851,30.32997606,24.51245552,0,-1
20220104,10:00.0,4871.8,4866.8,4871.8,4866.6,-4.6,97,4869.84,4875.6,4881.1,4887.68,4901.99,4875.650917,4870.821673,4865.992429,-8.221084291,-7.590344633,-0.630739658,29.10977938,-125.56226,-99.0990991,21.12268316,17.32138072,28.72528804,24.76950355,0.0001,-1
20220104,11:00.0,4866.6,4866,4868,4865.2,-0.8,75,4868.6,4874,4879.81,4886.52,4901.083333,4874.165408,4869.214449,4864.263489,-8.398766583,-7.752029023,-0.64673756,28.57292178,-123.5294118,-96.11650485,14.19960624,18.63577939,5.327259948,24.94699647,0.0003,-1
20220104,12:00.0,4865.8,4863.4,4866,4863.4,-2.6,50,4867.88,4872.28,4878.63,4885.046667,4900.133333,4873.758768,4867.276299,4860.793831,-8.649671324,-7.931557483,-0.718113841,26.84040556,-125.0069852,-100,3.870967742,13.06441905,-14.51593487,25.03521127,-0.0001,-1
20220104,13:00.0,4863,4856,4863,4856,-7.4,102,4864.72,4869.54,4876.86,4883.513333,4899.056667,4873.651357,4863.517533,4853.383708,-9.33799075,-8.212844136,-1.125146613,22.63387028,-157.5345912,-100,3.333333333,7.134635772,-4.269271543,25.30526316,0.0002,0
20220104,14:00.0,4855.4,4856.4,4858,4855,0.4,51,4861.72,4867.06,4875.14,4881.926667,4898.003333,4870.438805,4861.145022,4851.851239,-9.73894767,-8.518064843,-1.220882827,23.33331772,-145.9301191,-95.20547945,2.777777778,3.327359618,1.678614098,25.3951049,-0.0002,0
20220104,15:00.0,4856.8,4856,4860.2,4855.6,-0.4,57,4859.56,4864.7,4873.39,4880.433333,4896.93,4867.988145,4859.430015,4850.871884,-9.974011381,-8.809254151,-1.16475723,23.1083307,-118.144014,-96.57534247,5.341880342,3.817663818,8.39031339,25.50522648,-0.0002,0
20220104,16:00.0,4856,4852.8,4856.6,4851,-3.2,231,4856.92,4862.76,4871.63,4878.86,4895.796667,4864.201585,4857.22001,4850.238434,-10.29978481,-9.107360283,-1.19242453,21.33590998,-130.265069,-94.44444444,9.341880342,5.820512821,16.38461538,26.21875,-0.0003,0
20220104,17:00.0,4854.4,4858.6,4858.6,4852.8,5.8,114,4855.96,4861.92,4870.28,4877.5,4894.763333,4861.384274,4857.680006,4853.975739,-9.974965881,-9.280881403,-0.694084478,31.57939738,-87.5921452,-75.94936709,27.67521368,14.11965812,54.78632479,26.52249135,-0.0002,0
20220104,18:00.0,4859.8,4857.6,4860.2,4854,-1,30,4856.28,4860.5,4869.01,4876.126667,4893.703333,4861.585563,4857.653338,4853.721112,-9.686575368,-9.362020196,-0.324555173,30.83388267,-70.61524334,-78.14569536,49.02415459,28.6804162,89.71163136,26.53448276,0.0003,0
20220104,19:00.0,4858,4862,4862,4857,4.4,36,4857.4,4859.56,4868.06,4874.86,4892.713333,4865.15268,4859.102225,4853.051771,-8.999242911,-9.289464739,0.290221828,37.79263741,-31.26472899,-60.71428571,78.35748792,51.68561873,131.7012263,26.56701031,0.0001,-1
