,value,trade_price,position_value,cash,signal
2022-02-08 10:42:00,986194.6364799999,4557.0,0.0,986194.6364799999,0
2022-02-08 10:43:00,986194.6364799999,4556.6,0.0,986194.6364799999,0
2022-02-08 10:44:00,985997.9641599999,4552.6,983361.6000000001,2636.3641599997645,1
2022-02-08 10:45:00,985997.9641599999,4548.4,983361.6000000001,2636.3641599997645,1
2022-02-08 10:46:00,984356.3641599998,4545.0,981720.0,2636.3641599997645,0
2022-02-08 10:47:00,984356.3641599998,4544.4,981720.0,2636.3641599997645,1
2022-02-08 10:48:00,983578.7641599997,4541.4,980942.3999999999,2636.3641599997645,0
2022-02-08 10:49:00,983924.3641599998,4543.0,981288.0,2636.3641599997645,0
2022-02-08 10:50:00,983924.3641599998,4542.0,981288.0,2636.3641599997645,1
2022-02-08 10:51:00,983924.3641599998,4538.6,981288.0,2636.3641599997645,1
2022-02-08 10:52:00,983924.3641599998,4540.2,981288.0,2636.3641599997645,1
2022-02-08 10:53:00,983924.3641599998,4542.0,981288.0,2636.3641599997645,1
2022-02-08 10:54:00,984419.1683199997,4546.2,0.0,984419.1683199997,-1
2022-02-08 10:55:00,984222.9539199997,4542.0,981072.0,3150.9539199996507,1
2022-02-08 10:56:00,984222.9539199997,4545.8,981072.0,3150.9539199996507,1
2022-02-08 10:57:00,984222.9539199997,4546.4,981072.0,3150.9539199996507,1
2022-02-08 10:58:00,984458.6531199997,4544.0,0.0,984458.6531199997,-1
2022-02-08 10:59:00,984458.6531199997,4544.2,0.0,984458.6531199997,-1
2022-02-08 11:00:00,984458.6531199997,4548.0,0.0,984458.6531199997,-1
2022-02-08 11:01:00,984458.6531199997,4548.8,0.0,984458.6531199997,-1
2022-02-08 11:02:00,984262.3609599997,4543.8,981460.8,2801.5609599996824,1
2022-02-08 11:03:00,984262.3609599997,4538.0,981460.8,2801.5609599996824,1
2022-02-08 11:04:00,984262.3609599997,4534.8,981460.8,2801.5609599996824,1
2022-02-08 11:05:00,984262.3609599997,4532.2,981460.8,2801.5609599996824,1
2022-02-08 11:06:00,982318.3609599997,4534.8,979516.8,2801.5609599996824,0
2022-02-08 11:07:00,982318.3609599997,4537.2,979516.8,2801.5609599996824,1
2022-02-08 11:08:00,982318.3609599997,4537.2,979516.8,2801.5609599996824,1
2022-02-08 11:09:00,982318.3609599997,4541.2,979516.8,2801.5609599996824,1
2022-02-08 11:10:00,982318.3609599997,4536.2,979516.8,2801.5609599996824,1
2022-02-08 11:11:00,982318.3609599997,4533.4,979516.8,2801.5609599996824,1
2022-02-08 11:12:00,982318.3609599997,4530.4,979516.8,2801.5609599996824,1
2022-02-08 11:13:00,982318.3609599997,4526.6,979516.8,2801.5609599996824,1
2022-02-08 11:14:00,980308.4204799996,4526.4,0.0,980308.4204799996,-1
2022-02-08 11:15:00,980308.4204799996,4525.4,0.0,980308.4204799996,-1
2022-02-08 11:16:00,980113.1996799996,4519.0,976104.0,4009.1996799996123,1
2022-02-08 11:17:00,979658.8307199996,4517.8,0.0,979658.8307199996,-1
2022-02-08 11:18:00,979463.6358399997,4518.4,975974.3999999999,3489.2358399997465,1
2022-02-08 11:19:00,979463.6358399997,4514.8,975974.3999999999,3489.2358399997465,1
2022-02-08 11:20:00,978577.3791999997,4515.2,0.0,978577.3791999997,-1
2022-02-08 11:21:00,978577.3791999997,4511.6,0.0,978577.3791999997,-1
2022-02-08 11:22:00,978577.3791999997,4507.6,0.0,978577.3791999997,-1
2022-02-08 11:23:00,978577.3791999997,4506.2,0.0,978577.3791999997,-1
2022-02-08 11:24:00,978381.8448399997,4505.4,977671.7999999999,710.0448399997549,1
2022-02-08 11:25:00,979488.0500799997,4511.4,0.0,979488.0500799997,-1
2022-02-08 11:26:00,979488.0500799997,4519.6,0.0,979488.0500799997,-1
